3.389446834050215074e+01 3.203195958787636499e+01 3.219830949284785504e+01
6.781276967081980445e+01 6.734406360595336594e+01 6.795038056915693403e+01
9.322856958984040432e+01 9.280195640981636984e+01 9.404253904238888140e+01
1.149886791591536763e+02 1.143204756579097534e+02 1.148969940428639944e+02
1.321594576843685616e+02 1.327391865265528281e+02 1.329523362732219880e+02
1.472135996831526370e+02 1.490811426308233081e+02 1.494826971632259074e+02
1.633658415841584031e+02 1.656181435643564441e+02 1.657037376237623789e+02
2.548615413299387171e+02 2.548731438441739954e+02 2.548233198963617383e+02
1.824549546279491778e+02 1.834072595281306803e+02 1.849117241379310315e+02
2.075691222861384233e+02 2.074229356095750632e+02 2.104463165707923622e+02
